"","File","time_ms","env","F0","TP","Word","Gestural_Prom","Prosodic_Prom","Syll_num","Syll","Participant","Language","Item_type","Item_num","Focus","Gender","Age"
"1","G01_P_06_R",15,0,0,NA,NA,"","",NA,NA,1,"German","practice",6,"corrective","male",28
"2","G01_P_06_R",25,0,0,NA,NA,"","",NA,NA,1,"German","practice",6,"corrective","male",28
"3","G01_P_06_R",35,0,0,NA,NA,"","",NA,NA,1,"German","practice",6,"corrective","male",28
"4","G01_P_06_R",45,0,0,NA,NA,"","",NA,NA,1,"German","practice",6,"corrective","male",28
"5","G01_P_06_R",55,0,0,NA,NA,"","",NA,NA,1,"German","practice",6,"corrective","male",28
"6","G01_P_06_R",65,0,0,NA,NA,"","",NA,NA,1,"German","practice",6,"corrective","male",28
"7","G01_P_06_R",75,0,0,NA,NA,"","",NA,NA,1,"German","practice",6,"corrective","male",28
"8","G01_P_06_R",85,0,0,NA,NA,"","",NA,NA,1,"German","practice",6,"corrective","male",28
"9","G01_P_06_R",95,0.00412503858250972,0,NA,NA,"","",NA,NA,1,"German","practice",6,"corrective","male",28
"10","G01_P_06_R",105,0.00795599343512446,0,NA,NA,"","",NA,NA,1,"German","practice",6,"corrective","male",28
"11","G01_P_06_R",115,0.00737225444748387,0,NA,NA,"","",NA,NA,1,"German","practice",6,"corrective","male",28
"12","G01_P_06_R",125,0.00679578640963462,0,NA,NA,"","",NA,NA,1,"German","practice",6,"corrective","male",28
"13","G01_P_06_R",135,0.00622881818274212,0,NA,NA,"","",NA,NA,1,"German","practice",6,"corrective","male",28
"14","G01_P_06_R",145,0.00568718804923814,0,NA,NA,"","",NA,NA,1,"German","practice",6,"corrective","male",28
"15","G01_P_06_R",155,0.00519155502977522,0,NA,NA,"","",NA,NA,1,"German","practice",6,"corrective","male",28
"16","G01_P_06_R",165,0.00474663096904574,0,NA,NA,"","",NA,NA,1,"German","practice",6,"corrective","male",28
"17","G01_P_06_R",175,0.00434286930097588,0,NA,NA,"","",NA,NA,1,"German","practice",6,"corrective","male",28
"18","G01_P_06_R",185,0.00397545634551533,0,"","","","","1","",1,"German","practice",6,"corrective","male",28
"19","G01_P_06_R",195,0.00365091847691097,0,"","","","","1","",1,"German","practice",6,"corrective","male",28
"20","G01_P_06_R",205,0.00337231574636605,0,"","","","","1","",1,"German","practice",6,"corrective","male",28
"21","G01_P_06_R",215,0.00312936818921613,0,"","","","","1","",1,"German","practice",6,"corrective","male",28
"22","G01_P_06_R",225,0.00291369781905154,0,"","","","","1","",1,"German","practice",6,"corrective","male",28
"23","G01_P_06_R",235,0.00272328648729784,0,"","","","","1","",1,"German","practice",6,"corrective","male",28
"24","G01_P_06_R",245,0.00255502535420426,0,"","","","","1","",1,"German","practice",6,"corrective","male",28
"25","G01_P_06_R",255,0.00240613891828015,0,"","","","","1","",1,"German","practice",6,"corrective","male",28
"26","G01_P_06_R",265,0.00227287983533494,0,"","","","","1","",1,"German","practice",6,"corrective","male",28
"27","G01_P_06_R",275,0.00215089044519383,0,"","","","","1","",1,"German","practice",6,"corrective","male",28
"28","G01_P_06_R",285,0.00203805084409737,0,"","","","","1","",1,"German","practice",6,"corrective","male",28
"29","G01_P_06_R",295,0.00193481176625576,0,"","","","","1","",1,"German","practice",6,"corrective","male",28
"30","G01_P_06_R",305,0.00184299215104718,0,"","","","","1","",1,"German","practice",6,"corrective","male",28
"31","G01_P_06_R",315,0.00176186136519149,0,"","","","","1","",1,"German","practice",6,"corrective","male",28
"32","G01_P_06_R",325,0.00168869111596524,0,"","","","","1","",1,"German","practice",6,"corrective","male",28
"33","G01_P_06_R",335,0.00162360237847417,0,"","","","","1","",1,"German","practice",6,"corrective","male",28
"34","G01_P_06_R",345,0.00156995868330666,0,"","","","","1","",1,"German","practice",6,"corrective","male",28
"35","G01_P_06_R",355,0.00152943256922388,0,"","","","","1","",1,"German","practice",6,"corrective","male",28
"36","G01_P_06_R",365,0.00150023776678588,0,"","","","","1","",1,"German","practice",6,"corrective","male",28
"37","G01_P_06_R",375,0.0014802957040594,0,"","","","","1","",1,"German","practice",6,"corrective","male",28
"38","G01_P_06_R",385,0.00146711323807193,0,"","","","","1","",1,"German","practice",6,"corrective","male",28
"39","G01_P_06_R",395,0.00145672368939559,0,"","","","","1","",1,"German","practice",6,"corrective","male",28
"40","G01_P_06_R",405,0.00144599076959493,0,"","","","","1","",1,"German","practice",6,"corrective","male",28
"41","G01_P_06_R",415,0.00143331599640521,0,"","","","","1","",1,"German","practice",6,"corrective","male",28
"42","G01_P_06_R",425,0.00141816781621098,0,"","","","","1","",1,"German","practice",6,"corrective","male",28
"43","G01_P_06_R",435,0.00140058370336977,0,"","","","","1","",1,"German","practice",6,"corrective","male",28
"44","G01_P_06_R",445,0.00138048629188335,0,"","","","","1","",1,"German","practice",6,"corrective","male",28
"45","G01_P_06_R",455,0.0013576802660713,0,"","","","","1","",1,"German","practice",6,"corrective","male",28
"46","G01_P_06_R",465,0.0013324563562853,0,"","","","","1","",1,"German","practice",6,"corrective","male",28
"47","G01_P_06_R",475,0.00130628617429282,0,"","","","","1","",1,"German","practice",6,"corrective","male",28
"48","G01_P_06_R",485,0.00128110126825896,0,"","","","","1","",1,"German","practice",6,"corrective","male",28
"49","G01_P_06_R",495,0.00125817676396771,0,"","","","","1","",1,"German","practice",6,"corrective","male",28
"50","G01_P_06_R",505,0.00123808228893281,0,"","","","","1","",1,"German","practice",6,"corrective","male",28
"51","G01_P_06_R",515,0.00122096491150925,0,"","","","","1","",1,"German","practice",6,"corrective","male",28
"52","G01_P_06_R",525,0.00120646210628074,0,"","","","","1","",1,"German","practice",6,"corrective","male",28
"53","G01_P_06_R",535,0.00119343052743594,0,"","","","","1","",1,"German","practice",6,"corrective","male",28
"54","G01_P_06_R",545,0.00117968021199261,0,"","","","","1","",1,"German","practice",6,"corrective","male",28
"55","G01_P_06_R",555,0.00116313479297439,0,"","","","","1","",1,"German","practice",6,"corrective","male",28
"56","G01_P_06_R",565,0.0011429402324286,0,"","","","","1","",1,"German","practice",6,"corrective","male",28
"57","G01_P_06_R",575,0.00111965500050796,0,"","","","","1","",1,"German","practice",6,"corrective","male",28
"58","G01_P_06_R",585,0.00109531365854181,0,"","","","","1","",1,"German","practice",6,"corrective","male",28
"59","G01_P_06_R",595,0.00107221505337865,0,"","","","","1","",1,"German","practice",6,"corrective","male",28
"60","G01_P_06_R",605,0.00105173615749868,0,"","","","","1","",1,"German","practice",6,"corrective","male",28
"61","G01_P_06_R",615,0.00103469377106983,0,"","","","","1","",1,"German","practice",6,"corrective","male",28
"62","G01_P_06_R",625,0.00102120597555919,0,"","","","","1","",1,"German","practice",6,"corrective","male",28
"63","G01_P_06_R",635,0.00101072422129414,0,"","","","","1","",1,"German","practice",6,"corrective","male",28
"64","G01_P_06_R",645,0.00100286242070146,0,"","","","","1","",1,"German","practice",6,"corrective","male",28
"65","G01_P_06_R",655,0.000997321707863029,0,"","","","","1","",1,"German","practice",6,"corrective","male",28
"66","G01_P_06_R",665,0.000993503741708733,0,"","","","","1","",1,"German","practice",6,"corrective","male",28
"67","G01_P_06_R",675,0.000990465507372145,0,"","","","","1","",1,"German","practice",6,"corrective","male",28
"68","G01_P_06_R",685,0.000987124128945642,0,"","","","","1","",1,"German","practice",6,"corrective","male",28
"69","G01_P_06_R",695,0.000983084021959278,0,"","","","","1","",1,"German","practice",6,"corrective","male",28
"70","G01_P_06_R",705,0.000978348578294676,0,"","","","","1","",1,"German","practice",6,"corrective","male",28
"71","G01_P_06_R",715,0.000972514868636958,0,"","","","","1","",1,"German","practice",6,"corrective","male",28
"72","G01_P_06_R",725,0.000965586596549138,0,"","","","","1","",1,"German","practice",6,"corrective","male",28
"73","G01_P_06_R",735,0.000958471435000142,0,"","","","","1","",1,"German","practice",6,"corrective","male",28
"74","G01_P_06_R",745,0.000952257857726062,0,"","","","","1","",1,"German","practice",6,"corrective","male",28
"75","G01_P_06_R",755,0.000947604521719462,0,"","","","","1","",1,"German","practice",6,"corrective","male",28
"76","G01_P_06_R",765,0.000944805014317976,0,"","","","","1","",1,"German","practice",6,"corrective","male",28
"77","G01_P_06_R",775,0.000943974364094577,0,"","","","","1","",1,"German","practice",6,"corrective","male",28
"78","G01_P_06_R",785,0.000944944307600749,0,"","","","","1","",1,"German","practice",6,"corrective","male",28
"79","G01_P_06_R",795,0.00094753218682048,0,"","","","","1","",1,"German","practice",6,"corrective","male",28
"80","G01_P_06_R",805,0.000951404809423673,0,"","","","","1","",1,"German","practice",6,"corrective","male",28
"81","G01_P_06_R",815,0.000955810406106659,0,"","","","","1","",1,"German","practice",6,"corrective","male",28
"82","G01_P_06_R",825,0.000960660292360769,0,"","","","","1","",1,"German","practice",6,"corrective","male",28
"83","G01_P_06_R",835,0.000966255802729507,0,"","","","","1","",1,"German","practice",6,"corrective","male",28
"84","G01_P_06_R",845,0.000972552349275185,0,"","","","","1","",1,"German","practice",6,"corrective","male",28
"85","G01_P_06_R",855,0.000979116520383135,0,"","","","","1","",1,"German","practice",6,"corrective","male",28
"86","G01_P_06_R",865,0.000985094573735016,0,"","","","","1","",1,"German","practice",6,"corrective","male",28
"87","G01_P_06_R",875,0.000989511187071811,0,"","","","","1","",1,"German","practice",6,"corrective","male",28
"88","G01_P_06_R",885,0.000991647360959223,0,"","","","","1","",1,"German","practice",6,"corrective","male",28
"89","G01_P_06_R",895,0.000991031765720033,0,"","","","","1","",1,"German","practice",6,"corrective","male",28
"90","G01_P_06_R",905,0.000988041919106654,0,"","","","","1","",1,"German","practice",6,"corrective","male",28
"91","G01_P_06_R",915,0.000983869076362061,0,"","","","","1","",1,"German","practice",6,"corrective","male",28
"92","G01_P_06_R",925,0.000979467317986754,0,"","","","","1","",1,"German","practice",6,"corrective","male",28
"93","G01_P_06_R",935,0.000975523979533333,0,"","","","","1","",1,"German","practice",6,"corrective","male",28
"94","G01_P_06_R",945,0.000973323121361848,0,"","","","","1","",1,"German","practice",6,"corrective","male",28
"95","G01_P_06_R",955,0.000974433731023062,0,"","","","","1","",1,"German","practice",6,"corrective","male",28
"96","G01_P_06_R",965,0.000979769811067944,0,"","","","","1","",1,"German","practice",6,"corrective","male",28
"97","G01_P_06_R",975,0.000989413068988571,0,"","","","","1","",1,"German","practice",6,"corrective","male",28
"98","G01_P_06_R",985,0.00100214182877843,0,"","","","","1","",1,"German","practice",6,"corrective","male",28
"99","G01_P_06_R",995,0.00101588704437514,0,"","","","","1","",1,"German","practice",6,"corrective","male",28
"100","G01_P_06_R",1005,0.00102908406316695,0,"","","","","1","",1,"German","practice",6,"corrective","male",28
"101","G01_P_06_R",1015,0.00104098844993217,0,"","","","","1","",1,"German","practice",6,"corrective","male",28
"102","G01_P_06_R",1025,0.00105089088268235,0,"","","","","1","",1,"German","practice",6,"corrective","male",28
"103","G01_P_06_R",1035,0.001058009397954,0,"","","","","1","",1,"German","practice",6,"corrective","male",28
"104","G01_P_06_R",1045,0.00106184634490144,0,"","","","","1","",1,"German","practice",6,"corrective","male",28
"105","G01_P_06_R",1055,0.00106284453661477,0,"","","","","1","",1,"German","practice",6,"corrective","male",28
"106","G01_P_06_R",1065,0.00106208427058348,0,"","","","","1","",1,"German","practice",6,"corrective","male",28
"107","G01_P_06_R",1075,0.00106047733721202,0,"","","","","1","",1,"German","practice",6,"corrective","male",28
"108","G01_P_06_R",1085,0.0010594706892457,0,"","","","","1","",1,"German","practice",6,"corrective","male",28
"109","G01_P_06_R",1095,0.00106182848632232,0,"","","","","1","",1,"German","practice",6,"corrective","male",28
"110","G01_P_06_R",1105,0.00107110198524038,0,"","","","","1","",1,"German","practice",6,"corrective","male",28
"111","G01_P_06_R",1115,0.00109360308407534,0,"","","","","1","",1,"German","practice",6,"corrective","male",28
"112","G01_P_06_R",1125,0.00114229619705787,0,"","","","","1","",1,"German","practice",6,"corrective","male",28
"113","G01_P_06_R",1135,0.00123972484951966,0,"","","","","1","",1,"German","practice",6,"corrective","male",28
"114","G01_P_06_R",1145,0.00141798048590332,0,"","","","","1","",1,"German","practice",6,"corrective","male",28
"115","G01_P_06_R",1155,0.0017103672943995,0,"","","","","1","",1,"German","practice",6,"corrective","male",28
"116","G01_P_06_R",1165,0.00214720998140064,0,"","","","","1","",1,"German","practice",6,"corrective","male",28
"117","G01_P_06_R",1175,0.00274841868885346,0,"","","","","1","",1,"German","practice",6,"corrective","male",28
"118","G01_P_06_R",1185,0.00351138939435398,0,"","","","","1","",1,"German","practice",6,"corrective","male",28
"119","G01_P_06_R",1195,0.00441453536201365,0,"","","","","1","",1,"German","practice",6,"corrective","male",28
"120","G01_P_06_R",1205,0.00541790616689489,172.940322875977,"","","","","1","",1,"German","practice",6,"corrective","male",28
"121","G01_P_06_R",1215,0.00646889551121939,168.219909667969,"","","","","1","",1,"German","practice",6,"corrective","male",28
"122","G01_P_06_R",1225,0.00751403366987709,168.808975219727,"","","","","1","",1,"German","practice",6,"corrective","male",28
"123","G01_P_06_R",1235,0.00850097428847053,164.361907958984,"","","","","1","",1,"German","practice",6,"corrective","male",28
"124","G01_P_06_R",1245,0.00938098213693555,0,"","","","","1","",1,"German","practice",6,"corrective","male",28
"125","G01_P_06_R",1255,0.010106051880084,0,"","","","","1","",1,"German","practice",6,"corrective","male",28
"126","G01_P_06_R",1265,0.0106334403726198,0,"","","","","1","",1,"German","practice",6,"corrective","male",28
"127","G01_P_06_R",1275,0.0109353410019784,0,"","","","","1","",1,"German","practice",6,"corrective","male",28
"128","G01_P_06_R",1285,0.0110091488479484,0,"","","","","1","",1,"German","practice",6,"corrective","male",28
"129","G01_P_06_R",1295,0.0109212456254804,0,"","","","","1","",1,"German","practice",6,"corrective","male",28
"130","G01_P_06_R",1305,0.0108130548205082,0,"","","","","1","",1,"German","practice",6,"corrective","male",28
"131","G01_P_06_R",1315,0.010831862862998,0,"","","","","1","",1,"German","practice",6,"corrective","male",28
"132","G01_P_06_R",1325,0.0110839193046726,0,"","","","","1","",1,"German","practice",6,"corrective","male",28
"133","G01_P_06_R",1335,0.0116087581055534,0,"","","","","1","",1,"German","practice",6,"corrective","male",28
"134","G01_P_06_R",1345,0.0123717358666058,0,"","","","","1","",1,"German","practice",6,"corrective","male",28
"135","G01_P_06_R",1355,0.01328797615692,0,"","","","","1","",1,"German","practice",6,"corrective","male",28
"136","G01_P_06_R",1365,0.0142429919921296,0,"","","","","1","",1,"German","practice",6,"corrective","male",28
"137","G01_P_06_R",1375,0.0151124425202425,0,"","","","","1","",1,"German","practice",6,"corrective","male",28
"138","G01_P_06_R",1385,0.0157868570835964,0,"","","","","1","",1,"German","practice",6,"corrective","male",28
"139","G01_P_06_R",1395,0.0161833314812889,0,"","","","","1","",1,"German","practice",6,"corrective","male",28
"140","G01_P_06_R",1405,0.0162486308300617,0,"","","","","1","",1,"German","practice",6,"corrective","male",28
"141","G01_P_06_R",1415,0.0159589191532471,0,"","","","","1","",1,"German","practice",6,"corrective","male",28
"142","G01_P_06_R",1425,0.0153259491899849,0,"","","","","1","",1,"German","practice",6,"corrective","male",28
"143","G01_P_06_R",1435,0.0144253672129361,0,"","","","","1","",1,"German","practice",6,"corrective","male",28
"144","G01_P_06_R",1445,0.0133882664242895,0,"","","","","1","",1,"German","practice",6,"corrective","male",28
"145","G01_P_06_R",1455,0.0123658580264514,0,"","","","","1","",1,"German","practice",6,"corrective","male",28
"146","G01_P_06_R",1465,0.0115129789598497,0,"","","","","1","",1,"German","practice",6,"corrective","male",28
"147","G01_P_06_R",1475,0.0109760514519752,0,"","","","","1","",1,"German","practice",6,"corrective","male",28
"148","G01_P_06_R",1485,0.0108864735483518,0,"","","","","1","",1,"German","practice",6,"corrective","male",28
"149","G01_P_06_R",1495,0.0113171143876071,0,"","","","","1","",1,"German","practice",6,"corrective","male",28
"150","G01_P_06_R",1505,0.012238271469592,0,"","","","","1","",1,"German","practice",6,"corrective","male",28
"151","G01_P_06_R",1515,0.0135580268396999,0,"","","","","1","",1,"German","practice",6,"corrective","male",28
"152","G01_P_06_R",1525,0.0151636135874817,0,"","","","","1","",1,"German","practice",6,"corrective","male",28
"153","G01_P_06_R",1535,0.0169392675801873,0,"","","","","1","",1,"German","practice",6,"corrective","male",28
"154","G01_P_06_R",1545,0.0187810865146132,0,"","","","","1","",1,"German","practice",6,"corrective","male",28
"155","G01_P_06_R",1555,0.0205770043781274,0,"","","","","1","",1,"German","practice",6,"corrective","male",28
"156","G01_P_06_R",1565,0.0222006823535427,130.728546142578,"","","","","1","",1,"German","practice",6,"corrective","male",28
"157","G01_P_06_R",1575,0.0235286725721729,139.486724853516,"","","","","1","",1,"German","practice",6,"corrective","male",28
"158","G01_P_06_R",1585,0.0244547816505943,140.561264038086,"","","","","1","",1,"German","practice",6,"corrective","male",28
"159","G01_P_06_R",1595,0.0249019654728487,132.959609985352,"","","","","1","",1,"German","practice",6,"corrective","male",28
"160","G01_P_06_R",1605,0.0248373977454517,126.649078369141,"","","","","1","",1,"German","practice",6,"corrective","male",28
"161","G01_P_06_R",1615,0.024292555136933,0,"","","","","1","",1,"German","practice",6,"corrective","male",28
"162","G01_P_06_R",1625,0.0233577937701284,0,"","","","","1","",1,"German","practice",6,"corrective","male",28
"163","G01_P_06_R",1635,0.0221283769208445,0,"","","","","1","",1,"German","practice",6,"corrective","male",28
"164","G01_P_06_R",1645,0.0206849808695124,0,"","","","","1","",1,"German","practice",6,"corrective","male",28
"165","G01_P_06_R",1655,0.0191229266386646,133.560165405273,"","","","","1","",1,"German","practice",6,"corrective","male",28
"166","G01_P_06_R",1665,0.017550015688677,131.203796386719,"","","","","1","",1,"German","practice",6,"corrective","male",28
"167","G01_P_06_R",1675,0.0160703105197942,132.660171508789,"","","","","1","",1,"German","practice",6,"corrective","male",28
"168","G01_P_06_R",1685,0.0147572419042372,0,"","","","","1","",1,"German","practice",6,"corrective","male",28
"169","G01_P_06_R",1695,0.0136305650622807,0,"","","","","1","",1,"German","practice",6,"corrective","male",28
"170","G01_P_06_R",1705,0.0126808403525161,0,"","","","","1","",1,"German","practice",6,"corrective","male",28
"171","G01_P_06_R",1715,0.0118871723113054,0,"","","","","1","",1,"German","practice",6,"corrective","male",28
"172","G01_P_06_R",1725,0.011213703665391,0,"","","","","1","",1,"German","practice",6,"corrective","male",28
"173","G01_P_06_R",1735,0.0106187970476215,0,"","","","","1","",1,"German","practice",6,"corrective","male",28
"174","G01_P_06_R",1745,0.0100555703207659,0,"","","","","1","",1,"German","practice",6,"corrective","male",28
"175","G01_P_06_R",1755,0.00948907934857893,0,"","","","","1","",1,"German","practice",6,"corrective","male",28
"176","G01_P_06_R",1765,0.00891453642082255,0,"","","","","1","",1,"German","practice",6,"corrective","male",28
"177","G01_P_06_R",1775,0.00844928980900294,0,"","","","","1","",1,"German","practice",6,"corrective","male",28
"178","G01_P_06_R",1785,0.0083958948418201,0,"","","","","1","",1,"German","practice",6,"corrective","male",28
"179","G01_P_06_R",1795,0.00908867011196241,0,"","","","","1","",1,"German","practice",6,"corrective","male",28
"180","G01_P_06_R",1805,0.010778727438206,0,"","","","","1","",1,"German","practice",6,"corrective","male",28
"181","G01_P_06_R",1815,0.0136436252926013,0,"","","","","1","",1,"German","practice",6,"corrective","male",28
"182","G01_P_06_R",1825,0.0177629870178775,0,"","","","","1","",1,"German","practice",6,"corrective","male",28
"183","G01_P_06_R",1835,0.0230762058885119,0,"","","","","1","",1,"German","practice",6,"corrective","male",28
"184","G01_P_06_R",1845,0.0293626902903801,0,"","","","","1","",1,"German","practice",6,"corrective","male",28
"185","G01_P_06_R",1855,0.0362914555347571,0,"","","","","1","",1,"German","practice",6,"corrective","male",28
"186","G01_P_06_R",1865,0.0435028034713651,0,"","","","","1","",1,"German","practice",6,"corrective","male",28
"187","G01_P_06_R",1875,0.0506334348680016,147.977890014648,"","","","","1","",1,"German","practice",6,"corrective","male",28
"188","G01_P_06_R",1885,0.0573115260612409,142.677978515625,"","","","","1","",1,"German","practice",6,"corrective","male",28
"189","G01_P_06_R",1895,0.0631283147294885,142.49446105957,"","","","","1","",1,"German","practice",6,"corrective","male",28
"190","G01_P_06_R",1905,0.0676603979508885,142.324569702148,"","","","","1","",1,"German","practice",6,"corrective","male",28
"191","G01_P_06_R",1915,0.0705872487980961,142.789855957031,"","","","","1","",1,"German","practice",6,"corrective","male",28
"192","G01_P_06_R",1925,0.0718023437955835,143.701812744141,"","","","","1","",1,"German","practice",6,"corrective","male",28
"193","G01_P_06_R",1935,0.071426923545318,145.078109741211,"","","","","1","",1,"German","practice",6,"corrective","male",28
"194","G01_P_06_R",1945,0.0697513988230133,145.404968261719,"","","","","1","",1,"German","practice",6,"corrective","male",28
"195","G01_P_06_R",1955,0.0671963143315056,147.600555419922,"","","","","1","",1,"German","practice",6,"corrective","male",28
"196","G01_P_06_R",1965,0.0642432282107704,147.009689331055,"","","","","1","",1,"German","practice",6,"corrective","male",28
"197","G01_P_06_R",1975,0.0612584735832861,145.447769165039,"","","","","1","",1,"German","practice",6,"corrective","male",28
"198","G01_P_06_R",1985,0.0583973954760136,143.891799926758,"","","","","1","",1,"German","practice",6,"corrective","male",28
"199","G01_P_06_R",1995,0.055712479373979,140.803756713867,"","","","","1","",1,"German","practice",6,"corrective","male",28
"200","G01_P_06_R",2005,0.0532202137207321,141.830810546875,"","","","","1","",1,"German","practice",6,"corrective","male",28
"201","G01_P_06_R",2015,0.0508683437159135,142.689102172852,"","","","","1","",1,"German","practice",6,"corrective","male",28
"202","G01_P_06_R",2025,0.048552198977684,0,"","","","","1","",1,"German","practice",6,"corrective","male",28
"203","G01_P_06_R",2035,0.0461910343832394,149.913009643555,"","","","","1","",1,"German","practice",6,"corrective","male",28
"204","G01_P_06_R",2045,0.0437865265280996,146.066329956055,"","","","","1","",1,"German","practice",6,"corrective","male",28
"205","G01_P_06_R",2055,0.0413742188936881,0,"","","","","1","",1,"German","practice",6,"corrective","male",28
"206","G01_P_06_R",2065,0.0389679398134085,0,"","","","","1","",1,"German","practice",6,"corrective","male",28
"207","G01_P_06_R",2075,0.0365747794320615,0,"","","","","1","",1,"German","practice",6,"corrective","male",28
"208","G01_P_06_R",2085,0.0342141915271651,0,"","","","","1","",1,"German","practice",6,"corrective","male",28
"209","G01_P_06_R",2095,0.0319719622286367,0,"","","","","1","",1,"German","practice",6,"corrective","male",28
"210","G01_P_06_R",2105,0.0300255510676025,0,"","","","","1","",1,"German","practice",6,"corrective","male",28
"211","G01_P_06_R",2115,0.0285500625338111,0,"","","","","1","",1,"German","practice",6,"corrective","male",28
"212","G01_P_06_R",2125,0.0276228107617109,0,"","","","","1","",1,"German","practice",6,"corrective","male",28
"213","G01_P_06_R",2135,0.0271983468396301,0,"","","","","1","",1,"German","practice",6,"corrective","male",28
"214","G01_P_06_R",2145,0.0271728502864366,0,"","","","","1","",1,"German","practice",6,"corrective","male",28
"215","G01_P_06_R",2155,0.0274408201906063,0,"","","","","1","",1,"German","practice",6,"corrective","male",28
"216","G01_P_06_R",2165,0.0279323010371055,0,"","","","","1","",1,"German","practice",6,"corrective","male",28
"217","G01_P_06_R",2175,0.0286091680336287,0,"","","","","1","",1,"German","practice",6,"corrective","male",28
"218","G01_P_06_R",2185,0.029386736034623,0,"","","","","1","",1,"German","practice",6,"corrective","male",28
"219","G01_P_06_R",2195,0.0301491608906474,0,"","","","","1","",1,"German","practice",6,"corrective","male",28
"220","G01_P_06_R",2205,0.0308051673313759,0,"","","","","1","",1,"German","practice",6,"corrective","male",28
"221","G01_P_06_R",2215,0.0312932710714897,0,"","","","","1","",1,"German","practice",6,"corrective","male",28
"222","G01_P_06_R",2225,0.0315766080759763,0,"","","","","1","",1,"German","practice",6,"corrective","male",28
"223","G01_P_06_R",2235,0.0316283330530367,0,"","","","","1","",1,"German","practice",6,"corrective","male",28
"224","G01_P_06_R",2245,0.0314207872093863,0,"","","","","1","",1,"German","practice",6,"corrective","male",28
"225","G01_P_06_R",2255,0.0309436053924276,0,"","","","","1","",1,"German","practice",6,"corrective","male",28
"226","G01_P_06_R",2265,0.0302076664510212,0,"","","","","1","",1,"German","practice",6,"corrective","male",28
"227","G01_P_06_R",2275,0.0292285244938928,0,"","","","","1","",1,"German","practice",6,"corrective","male",28
"228","G01_P_06_R",2285,0.0280302251545942,0,"","","","","1","",1,"German","practice",6,"corrective","male",28
"229","G01_P_06_R",2295,0.026656907025706,0,"","","","","1","",1,"German","practice",6,"corrective","male",28
"230","G01_P_06_R",2305,0.025157940197489,0,"","","","","1","",1,"German","practice",6,"corrective","male",28
"231","G01_P_06_R",2315,0.0235872194150657,0,"","","","","1","",1,"German","practice",6,"corrective","male",28
"232","G01_P_06_R",2325,0.0220355263984936,0,"","","","","1","",1,"German","practice",6,"corrective","male",28
"233","G01_P_06_R",2335,0.0207171334508684,0,"","","","","1","",1,"German","practice",6,"corrective","male",28
"234","G01_P_06_R",2345,0.0199565571372116,0,"","","","","1","",1,"German","practice",6,"corrective","male",28
"235","G01_P_06_R",2355,0.0200324096774843,0,"","","","","1","",1,"German","practice",6,"corrective","male",28
"236","G01_P_06_R",2365,0.0210492804737469,0,"","","","","1","",1,"German","practice",6,"corrective","male",28
"237","G01_P_06_R",2375,0.022941877765677,0,"","","","","1","",1,"German","practice",6,"corrective","male",28
"238","G01_P_06_R",2385,0.0255711800121468,0,"","","","","1","",1,"German","practice",6,"corrective","male",28
"239","G01_P_06_R",2395,0.0287749332817532,0,"","","","","1","",1,"German","practice",6,"corrective","male",28
"240","G01_P_06_R",2405,0.0324359818286748,0,"","","","","1","",1,"German","practice",6,"corrective","male",28
"241","G01_P_06_R",2415,0.0365083151062322,0,"","","","","1","",1,"German","practice",6,"corrective","male",28
"242","G01_P_06_R",2425,0.0409194577250611,0,"","","","","1","",1,"German","practice",6,"corrective","male",28
"243","G01_P_06_R",2435,0.0455113384370662,0,"","","","","1","",1,"German","practice",6,"corrective","male",28
"244","G01_P_06_R",2445,0.050036899722325,0,"","","","","1","",1,"German","practice",6,"corrective","male",28
"245","G01_P_06_R",2455,0.0543132540432499,0,"","","","","1","",1,"German","practice",6,"corrective","male",28
"246","G01_P_06_R",2465,0.0588165682658335,0,"","","","","1","",1,"German","practice",6,"corrective","male",28
"247","G01_P_06_R",2475,0.0646727365587515,0,"","","","","1","",1,"German","practice",6,"corrective","male",28
"248","G01_P_06_R",2485,0.0728762080064481,0,"","","","","1","",1,"German","practice",6,"corrective","male",28
"249","G01_P_06_R",2495,0.0837682483927253,0,"","","","","1","",1,"German","practice",6,"corrective","male",28
"250","G01_P_06_R",2505,0.0969865853424308,0,"","","","","1","",1,"German","practice",6,"corrective","male",28
"251","G01_P_06_R",2515,0.111746825621005,0,"","","","","1","",1,"German","practice",6,"corrective","male",28
"252","G01_P_06_R",2525,0.127016941251585,0,"","","","","1","",1,"German","practice",6,"corrective","male",28
"253","G01_P_06_R",2535,0.141688993013693,0,"","","","","1","",1,"German","practice",6,"corrective","male",28
"254","G01_P_06_R",2545,0.154700859397291,0,"","","","","1","",1,"German","practice",6,"corrective","male",28
"255","G01_P_06_R",2555,0.165081067316921,0,"","","","","1","",1,"German","practice",6,"corrective","male",28
"256","G01_P_06_R",2565,0.172104911145413,0,"","","","","1","",1,"German","practice",6,"corrective","male",28
"257","G01_P_06_R",2575,0.175514677443988,0,"","","","","1","",1,"German","practice",6,"corrective","male",28
"258","G01_P_06_R",2585,0.175528534448769,0,"","","","","1","",1,"German","practice",6,"corrective","male",28
"259","G01_P_06_R",2595,0.172714248482476,0,"","","","","1","",1,"German","practice",6,"corrective","male",28
"260","G01_P_06_R",2605,0.167802027843919,0,"","","","","1","",1,"German","practice",6,"corrective","male",28
"261","G01_P_06_R",2615,0.161516949234619,0,"","","","","1","",1,"German","practice",6,"corrective","male",28
